x y
56365.5 39254.9
-34356.1 25274.9
25406.6 58971
-9561.48 -85322.1
96509.2 -44958.4
-60637.4 19034.1
48394.2 92969.3
-58856.5 55082.1
-90971.6 14203.9
-5089.14 -86140.6
3267.66 674.982
-76972.2 -25887.1
67378 -34343
-7262.23 10201.4
-20483.7 64470
-35231.5 -64118.2
3724.88 30412.4
61156.7 -70868.5
-10616.7 -48404.8
-56190.7 -14107.5
6636.83 -16828.1
-95073.4 -44968.9
-23858.8 -53929.9
-89886.8 -14830.4
60273.9 5024.05
-971.037 -36458.4
-94301 22056.7
37654.4 73077.1
87713.7 -69607.8
-16721.5 -32769.9
94862.2 48047
3111.86 -1412.91
-21540.7 -35731.4
27718.6 67842.7
15863.8 71527.9
-46264.8 -77499.4
-45300.2 -41338.2
-22468.3 30841
4731.82 -12355.1
-83989.4 -34994.3
92668.9 15039.5
28547.3 98368
-62903.7 -33798.3
71445 -75190
-3406.04 -45276.5
-7959.96 -8543.84
-97229.5 95151.9
90043.2 -18770.2
-40579.5 17761.8
-50927.5 75284.2
-10710.3 2807.6
97784.8 43989.6
61469.4 -24683.5
-25169.5 -33798.8
62961.4 -9158.91
31206.9 55630.3
-94119.4 -40245.8
53998.3 -57023.1
25956 25443.3
-32213.2 -77450.1
80166.8 59826.9
14006.1 82937.2
54978.8 4049.33
-35833 -85600.8
-78188.9 13239.5
89683.4 11100.9
-83952.9 87468.3
-44909.6 77516.4
-37215.2 29921
-56282.4 -74253.8
-79237.9 74924.5
81376.5 -73357.3
-65321.3 35374.7
-30380.5 60634.7
-39182 37406.4
83184.6 -59015.2
-2766.75 -2809.27
-76078 -47788
-98759.9 -11911
-33388.8 -76948.8
-98671.5 -43705.3
34152.1 -82624.4
-56237 89242.5
94892 6547.77
19163.5 -61390.4
32294 39925.6
-86465.9 13670.5
66568.3 -51787.1
-50954.8 -63812.2
-91152.4 9863.22
73594.2 92032.2
50848 -29172.6
-10777 74770
23039.4 -9537
-37141 89650.7
13514.2 -35812.6
-54054.6 -52333.7
-18437 -10291.7
-63091.2 -23545
96256.1 56072.4
15064.6 28550.1
-4002.05 28598.7
-57779.5 -37433.8
76811.6 -8734.27
-1245.97 85659.2
-98871 -27651.8
77691.4 51976.9
43175.7 -33085.7
26746.9 -33784.9
57377.3 89605.9
-44134.2 -29108.4
-46206.7 1811.13
18557.8 35356.3
91519.4 55466.7
-88188.7 87775.5
11539 26875.9
16325.6 -92463
-44525.4 58546.1
-29896.8 -67713.8
-50188.1 68857.2
-82054.7 -49059.2
-58794.5 95636.7
-97082.3 84381.1
-37448.9 29664.6
-49403.8 -80071.6
19270.5 6461.98
-9180.03 73063.8
